Σχόλια,Συναίσθημα,Ποσοστό %,Ημερομηνία
το προιον ηταν χαλια !,Αρνητικό,100.0,2025-05-25 18:06:15
το φαγητο ηταν χαλια !,Αρνητικό,100.0,2025-05-25 19:14:04
το φαγητο ηταν απαραδεκτο !,Αρνητικό,100.0,2025-05-25 19:16:27
το φαγητο ηταν καλουτσικο,Θετικό,60.0,2025-05-25 19:17:00
το φαγητο δεν ηταν καλο,Αρνητικό,60.0,2025-05-25 19:20:27
"το φαγητο θα μπορουσε να ειναι 
και καλυτερο",Θετικό,100.0,2025-05-25 19:32:42
το φαγητο θα μπορουσε να ειναι και καλυτερο,Θετικό,30.0,2025-05-25 19:33:47
το φαγητο ισως να ηταν καλο,Θετικό,100.0,2025-05-25 19:35:34
το φαγητο ισως ηταν χαλια !,Αρνητικό,100.0,2025-05-25 19:36:33
το φαγητο ηταν χαλια !,Αρνητικό,100.0,2025-05-25 19:48:50
το φαγητο ισως ηταν καλο !,Θετικό,100.0,2025-05-25 19:48:59
το φαγητο θα μπορουσε να ειναι καλο,Θετικό,100.0,2025-05-25 19:49:35
το φαγητο ηταν χαλια !,Αρνητικό,100.0,2025-05-25 20:29:32
το φαγητο ισως ηταν καλο,Ουδέτερο,60.0,2025-05-25 20:33:28
το φαγητο ισως ηταν καλο,Ουδέτερο,60.0,2025-05-25 20:33:40
το φαγητο θα μπορουσε να ειναι καλο !,Θετικό,100.0,2025-05-25 20:33:50
το φαγητο θα μπορουσε να ειναι καλο,Θετικό,100.0,2025-05-25 20:34:16
το φαγητο ισως ηταν καλο !,Ουδέτερο,60.0,2025-05-25 20:37:19
το φαγητο εφοσον ηταν καλο εχει περιθωρια βελτιωσης,Ουδέτερο,60.0,2025-05-25 20:38:06
το φαγητο δεν ηταν καλο,Αρνητικό,60.0,2025-05-25 20:38:50
το φαγητο ηταν χαλια !,Αρνητικό,100.0,2025-05-25 22:11:36
το φαγητο ηταν χαλια !,Αρνητικό,100.0,2025-05-26 18:52:07
το φαγητο δεν ηταν καλο,Αρνητικό,60.0,2025-05-26 19:12:43
το φαγητο ισως ηταν καλο !,Θετικό,60.0,2025-05-26 19:12:59
το φαγητο θα μπορουσε να ειναι και καλυτερο,Αρνητικό,40.0,2025-05-26 19:13:55
το φαγητο θα μπορουσε να ειναι και καλυτερο,Αρνητικό,40.0,2025-05-26 19:14:10
το φαγητο θα μπορουσε να ειναι και καλυτερο,Αρνητικό,40.0,2025-05-26 19:14:31
το φαγητο θα ηταν καλο,Θετικό,35.0,2025-05-26 19:14:45
το φαγητο θα μπορουσε να ειναι και καλυτερο,Θετικό,35.0,2025-05-26 19:15:40
το φαγητο θα μπορουσε να ειναι και καλυτερο,Θετικό,35.0,2025-05-26 19:15:50
το φαγητο ηταν χαλια !,Αρνητικό,100.0,2025-05-26 22:09:08
το φαγητο ηταν καλουτσικο,Θετικό,60.0,2025-05-26 22:50:07
τα ποτα ηταν ωραια,Θετικό,90.0,2025-05-30 19:08:04
το φαγητο ηταν λιγο καλο,Θετικό,30.0,2025-05-30 19:12:22
το φαγητο ηταν λιγο καλο,Θετικό,30.0,2025-05-30 19:13:00
ηταν λιγο ωραιο το φαγητο,Θετικό,30.0,2025-05-30 19:41:01
αριστο,Θετικό,100.0,2025-05-30 20:31:27
το φαγητο ηταν καλο !,Θετικό,90.0,2025-06-03 22:53:35
απιστευτο φαγητο !,Ουδέτερο,50.0,2025-06-03 22:54:21
Απιστευτο φαγητο !,Ουδέτερο,50.0,2025-06-03 22:55:34
Απιστευτο φαγητο !,Ουδέτερο,50.0,2025-06-03 22:56:22
το φαγητο ηταν καλο !,Θετικό,90.0,2025-06-03 23:33:17
το φαγητο θα μπορουσε να ηταν και καλυτερο,Θετικό,100.0,2025-06-03 23:33:26
το φαγητο ισως ηθελε λιγο καλυτερα,Θετικό,100.0,2025-06-03 23:34:03
Το φαγητο θα μπορουσε να ειναι και καλυτερο!,Θετικό,100.0,2025-06-03 23:34:29
το φαγητο θα μπορουσε να ηταν και καλυτερο,Θετικό,100.0,2025-06-03 23:36:42
το φαγητο ηταν καλο !,Θετικό,90.0,2025-06-03 23:38:57
το φαγητο δεν ηταν καλο,Αρνητικό,60.0,2025-06-03 23:39:25
το φαγητο ηταν τελειο !,Θετικό,100.0,2025-06-05 22:17:01
το φαγητο ηταν παρα πολυ καλο !,Θετικό,100.0,2025-06-05 22:28:05
Αυτό το σχόλιο είναι ένα καλό σχόλιο για Προιόντα.,Θετικό,100.0,2025-06-06 10:40:45
Αυτό το σχόλιο είναι κακό για ένα Προιόν!,Αρνητικό,100.0,2025-06-06 11:19:51
λειτουργικό,Ουδέτερο,50.0,2025-06-06 11:22:29
δυσλειτουργικό,Αρνητικό,100.0,2025-06-06 11:23:10
Αυτό το προιόν είναι πολύ λειτουργικό.,Ουδέτερο,50.0,2025-06-06 11:30:33
Αυτό το προιόν είναι λειτουργικό.,Ουδέτερο,50.0,2025-06-06 11:33:18
το φαγητο ηταν αποτυχημενο,Αρνητικό,100.0,2025-06-07 00:11:05
το φαγητο ηταν πολυ καλο,Θετικό,100.0,2025-06-07 00:16:34
το φαγητο δεν ηταν καλο,Αρνητικό,60.0,2025-06-17 20:47:32
το φαγητο ηταν καλό,Θετικό,90.0,2025-06-17 20:50:43
το φαγητο ηταν ταπεινο,Θετικό,100.0,2025-06-17 21:01:28
το φαγητο ηταν ναι μεν αλλα,Ουδέτερο,50.0,2025-06-17 21:12:59
το φαγητο ηταν καλο,Θετικό,90.0,2025-06-17 21:26:52
τα φαγητο ηταν καλο !!!,Θετικό,100.0,2025-06-17 21:27:01
το φαγητο ηταν καλο !,Θετικό,90.0,2025-06-17 21:27:10
το φαγητο ηταν καλο !!!,Θετικό,90.0,2025-06-17 21:27:29
το φάγητο ηταν καλό,Θετικό,90.0,2025-06-17 21:27:50
το φαγητο ηταν αρνητικο,Αρνητικό,100.0,2025-06-17 21:28:33
το φαγητο ηταν καλο,Θετικό,90.0,2025-06-17 21:35:57
το φαγητο ηταν καλο,Θετικό,90.0,2025-06-17 21:45:54
δσαδ ςα δςα δα,Ουδέτερο,50.0,2025-06-17 21:53:29
το φαγητο θα μπουρουσε να ηταν καλυτερο,Θετικό,100.0,2025-06-17 21:57:23
το φαγητο ηταν καλο,Θετικό,90.0,2025-06-17 22:16:49
δςαδςαδ,Ουδέτερο,50.0,2025-06-17 22:31:01
